ID,Variant ID,Handle,Inventory Available: 2 bergin,Variant Price,Variant Compare At Price,Variant Inventory Tracker
8078163247296,45576386281664,0oo9098-subzero,6,218.79,493.50,shopify
8078163247296,45576386379968,0oo9098-subzero,3,210.52,463.50,shopify
8078163247296,45576386412736,0oo9098-subzero,1,379.50,471.00,shopify
8078163247296,45644471632064,0oo9098-subzero,3,397.50,493.50,shopify
8078163247296,45644471664832,0oo9098-subzero,1,397.50,493.50,shopify
8078163312832,45576386347200,alain-mikli-a04005-alouette,2,239.40,570.00,shopify
8078163345600,45576386314432,adidas-sport-sp0006,0,40.99,109.00,shopify
8078163345600,45627695333568,adidas-sport-sp0006,3,77.34,148.50,shopify
8078163476672,45576387264704,adidas-sport-sp0045,1,86.03,195.00,shopify
8078163476672,45576387297472,adidas-sport-sp0045,0,92.99,67.75,shopify
8078163968192,45576389787840,alain-mikli-a04009-la-nuit,2,277.49,682.50,shopify
8078164033728,45576389853376,alain-mikli-a05031-miss-j,2,224.99,570.00,shopify
8078164033728,45576389886144,alain-mikli-a05031-miss-j,1,254.99,574.50,shopify
8078164033728,45576389918912,alain-mikli-a05031-miss-j,2,262.49,570.00,shopify
8078164033728,45576389951680,alain-mikli-a05031-miss-j,1,239.40,570.00,shopify
8078164066496,45576390017216,alain-mikli-a05036-le-matin,1,262.49,574.50,shopify
8078164066496,45576390049984,alain-mikli-a05036-le-matin,2,262.49,574.50,shopify
8078164099264,45576390082752,alain-mikli-a05043-nuages,2,262.49,574.50,shopify
8078164099264,45576390115520,alain-mikli-a05043-nuages,1,262.49,574.50,shopify
8078164230336,45576390246592,alain-mikli-a05049-n-deg-862,1,262.50,574.50,shopify
8078164295872,45576390312128,alain-mikli-a05051-marmion,1,265.42,631.50,shopify
8078164328640,45576390344896,alain-mikli-a05061-viviette,1,289.49,600.00,shopify
8078164361408,45576390377664,alain-mikli-a05067-alete,1,337.49,690.00,shopify
8078164492480,45576390541504,alexander-mcqueen-am0087s,0,269.99,430.00,shopify
8078164492480,45627674525888,alexander-mcqueen-am0087s,1,337.37,645.00,shopify
8078164558016,45576390607040,alexander-mcqueen-am0096sa-asian-fit,0,270.99,440.00,shopify
8078164558016,45627674558656,alexander-mcqueen-am0096sa-asian-fit,1,337.50,660.00,shopify
8078164623552,45576390672576,alexander-mcqueen-am0144s,0,270.99,440.00,shopify
8078164623552,45627678621888,alexander-mcqueen-am0144s,1,337.50,660.00,shopify
8078164689088,45576390738112,alexander-mcqueen-am0299s,1,334.41,517.50,shopify
8078164689088,45576390770880,alexander-mcqueen-am0299s,2,249.03,517.50,shopify
8078164754624,45576391000256,alexander-mcqueen-am0302s,3,249.03,517.50,shopify
8078164754624,45576391033024,alexander-mcqueen-am0302s,1,334.41,517.50,shopify
8078164754624,45576391065792,alexander-mcqueen-am0302s,0,414.99,166.02,shopify
8078164820160,45576391131328,alexander-mcqueen-am0313s,5,479.25,742.50,shopify
8078164820160,45576391164096,alexander-mcqueen-am0313s,0,857.99,1105.00,shopify
8078164852928,45576391196864,alexander-mcqueen-am0328s,2,334.41,517.50,shopify
8078164852928,45576391229632,alexander-mcqueen-am0328s,1,252.03,517.50,shopify
8078164918464,45576391295168,alexander-mcqueen-am0329s,7,334.41,517.50,shopify
8078165016768,45576391426240,alexander-mcqueen-am0347s,1,329.70,517.50,shopify
8078165049536,45576391459008,alexander-mcqueen-am0335s,3,392.79,787.50,shopify
8078165115072,45576391524544,alexander-mcqueen-am0362s,1,394.89,810.00,shopify
8078165147840,45576391557312,alexander-mcqueen-am0371s,1,749.99,1530.00,shopify
8078165213376,45576391655616,alexander-mcqueen-am0372s,2,361.65,742.50,shopify
8078165246144,45576391688384,alexander-mcqueen-am0377s,1,271.23,562.50,shopify
8078165311680,45576391753920,alexander-mcqueen-am0381s,1,235.98,562.50,shopify
8078165475520,45576391950528,alexander-mcqueen-am0386s,1,280.92,577.50,shopify
8078165508288,45576391983296,alexander-mcqueen-am0391s,1,265.27,562.50,shopify
8078165573824,45576392016064,alexander-mcqueen-am0398s,1,472.50,742.50,shopify
